0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,name,HOG
Homo_sapiens_HSAP017770_ANAPC1_Apc1,HUMAN17502,100.0,1944,0,0,1,1944,1,1944,0.0,4029.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,PANTR28459,99.743,1944,5,0,1,1944,1,1944,0.0,4017.0,Apc1,,Apc1,,Apc1,,Apc1,,Apc1,
Homo_sapiens_HSAP017770_ANAPC1_Apc1,CHLSB04039,99.383,1944,12,0,1,1944,1,1944,0.0,4007.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,PAPAN05104,99.331,1944,13,0,1,1944,1,1944,0.0,4007.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,PANTR28460,99.126,1945,14,2,1,1944,1,1943,0.0,3982.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,CALJA06361,98.405,1944,30,1,1,1944,1,1943,0.0,3969.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,PANTR28461,97.89200000000001,1945,20,3,1,1944,1,1925,0.0,3925.0,Apc1,,Apc1,,Apc1,,Apc1,,Apc1,
Homo_sapiens_HSAP017770_ANAPC1_Apc1,FELCA03737,97.274,1944,53,0,1,1944,1,1944,0.0,3923.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,HORSE05873,97.171,1944,55,0,1,1944,1,1944,0.0,3922.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,MUSPF05472,97.274,1944,53,0,1,1944,1,1944,0.0,3922.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,RABIT08361,96.914,1944,60,0,1,1944,1,1944,0.0,3922.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,PIGXX21392,96.86200000000001,1944,61,0,1,1944,1,1944,0.0,3912.0,Apc1,,Apc1,HOG:0409203.1b.1b.1b.1b.1a.1d.1a,Apc1,HOG:0409203.1b.1b.1b.1b.1a.1d.1a,Apc1,,Apc1,HOG:0409203.1b.1b.1b.1b.1a.1d.1a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,CHILA17151,94.883,1974,70,1,1,1943,1,1974,0.0,3882.0,Apc1,,Apc1,,Apc1,,Apc1,,Apc1,
Homo_sapiens_HSAP017770_ANAPC1_Apc1,CANLF05104,96.109,1953,66,4,1,1944,1,1952,0.0,3868.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,AILME07555,96.006,1953,64,5,1,1944,1,1948,0.0,3861.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a.3b,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,PIGXX21394,95.57600000000001,1944,61,1,1,1944,1,1919,0.0,3848.0,Apc1,,Apc1,HOG:0390733.2a,Apc1,HOG:0390733.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0390733.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,CHILA17152,96.397,1943,70,0,1,1943,1,1943,0.0,3807.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,FUKDA12987,96.348,1944,71,0,1,1944,1,1944,0.0,3807.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,TURTR11097,94.90700000000001,1944,61,3,1,1944,1,1906,0.0,3803.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,MYOLU12992,95.786,1946,79,2,1,1944,1,1945,0.0,3793.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,LOXAF07011,95.73,1944,83,0,1,1944,1,1944,0.0,3787.0,Apc1,,Apc1,HOG:0397431,Apc1,HOG:0397431,Apc1,HOG:0452285,Apc1,HOG:0397431
Homo_sapiens_HSAP017770_ANAPC1_Apc1,OTOGA03978,95.21600000000001,1944,93,0,1,1944,1,1944,0.0,3751.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,CAVPO04440,95.28,1949,84,5,1,1944,1,1946,0.0,3748.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,RATNO13640,92.95299999999999,1944,137,0,1,1944,1,1944,0.0,3739.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,MOUSE27805,92.387,1944,148,0,1,1944,1,1944,0.0,3713.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,BOVIN01722,95.084,1953,86,4,1,1944,1,1952,0.0,3697.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,SHEEP14121,95.319,1944,90,1,1,1944,1,1943,0.0,3678.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,MACMU06518,93.83,1945,112,6,1,1944,1,1938,0.0,3640.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
Homo_sapiens_HSAP017770_ANAPC1_Apc1,VICPA06518,90.844,1944,62,3,1,1944,1,1828,0.0,3616.0,Apc1,,Apc1,HOG:0397431.2a,Apc1,HOG:0397431.2a,Apc1,HOG:0452285.2a,Apc1,HOG:0397431.2a
