Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Cross-reference (OMA)	Cross-reference (Bgee)
Q9NQ60	EQTN_HUMAN	reviewed	Equatorin (Acrosome formation-associated factor)	EQTN AFAF C9orf11	Homo sapiens (Human)	294	NEPAFWT;	ENSG00000120160;
Q8IYV9	IZUM1_HUMAN	reviewed	Izumo sperm-egg fusion protein 1 (Oocyte binding/fusion factor) (OBF) (Sperm-specific protein izumo)	IZUMO1	Homo sapiens (Human)	350	PATIINF;	ENSG00000182264;
O75951	LYZL6_HUMAN	reviewed	Lysozyme-like protein 6 (EC 3.2.1.17)	LYZL6 LYC1 UNQ754/PRO1485	Homo sapiens (Human)	148	FRHWNGW;	ENSG00000275722;
A6ND01	JUNO_HUMAN	reviewed	Sperm-egg fusion protein Juno (Folate receptor 4) (Folate receptor delta) (FR-delta) (IZUMO1 receptor protein JUNO)	IZUMO1R FOLR4 JUNO	Homo sapiens (Human)	250	NAPLCQE;	ENSG00000183560;
P38567	HYALP_HUMAN	reviewed	Hyaluronidase PH-20 (Hyal-PH20) (EC 3.2.1.35) (Hyaluronoglucosaminidase PH-20) (Sperm adhesion molecule 1) (Sperm surface protein PH-20)	SPAM1 HYAL3 PH20	Homo sapiens (Human)	509	NWLWKES;	ENSG00000106304;
P05154	IPSP_HUMAN	reviewed	Plasma serine protease inhibitor (Acrosomal serine protease inhibitor) (Plasminogen activator inhibitor 3) (PAI-3) (PAI3) (Protein C inhibitor) (PCI) (Serpin A5)	SERPINA5 PCI PLANH3 PROCI	Homo sapiens (Human)	406	YYYFLDR;	ENSG00000188488;
Q6UW49	SPESP_HUMAN	reviewed	Sperm equatorial segment protein 1 (SP-ESP) (Equatorial segment protein) (ESP) (Glycosylated 38 kDa sperm protein C-7/8)	SPESP1 UNQ732/PRO1418	Homo sapiens (Human)	350	TAFWSIK;	ENSG00000258484;
W5XKT8	SACA6_HUMAN	reviewed	Sperm acrosome membrane-associated protein 6 (BACHELOR-like protein)	SPACA6 SPACA6P UNQ2487/PRO5774	Homo sapiens (Human)	324	VWMFFRW;	
Q5T0L3	SPT46_HUMAN	reviewed	Spermatogenesis-associated protein 46	SPATA46 C1orf111 HSD20	Homo sapiens (Human)	261	NGYKCAA;	ENSG00000171722;
Q9BZX4	ROP1B_HUMAN	reviewed	Ropporin-1B (Rhophilin-associated protein 1B)	ROPN1B	Homo sapiens (Human)	212	FMEEIEW;	ENSG00000114547;
Q8IXA5	SACA3_HUMAN	reviewed	Sperm acrosome membrane-associated protein 3 (Cancer/testis antigen 54) (CT54) (Lysozyme-like acrosomal sperm-specific secretory protein ALLP-17) (Lysozyme-like protein 3) (Sperm lysozyme-like protein 1) (Sperm protein reactive with antisperm antibodies) (Sperm protein reactive with ASA) [Cleaved into: Sperm acrosome membrane-associated protein 3, membrane form; Sperm acrosome membrane-associated protein 3, processed form]	SPACA3 LYC3 LYZL3 SLLP1 SPRASA UNQ424/PRO862	Homo sapiens (Human)	215	RWCPAGI;	ENSG00000141316;
P54107	CRIS1_HUMAN	reviewed	Cysteine-rich secretory protein 1 (CRISP-1) (AEG-like protein) (ARP) (Acidic epididymal glycoprotein homolog)	CRISP1 AEGL1	Homo sapiens (Human)	249	YDEYTDC;	ENSG00000124812;
P21926	CD9_HUMAN	reviewed	CD9 antigen (5H9 antigen) (Cell growth-inhibiting gene 2 protein) (Leukocyte antigen MIC3) (Motility-related protein) (MRP-1) (Tetraspanin-29) (Tspan-29) (p24) (CD antigen CD9)	CD9 MIC3 TSPAN29 GIG2	Homo sapiens (Human)	228	WLRFDTQ;	ENSG00000010278;
Q99965	ADAM2_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 2 (ADAM 2) (Cancer/testis antigen 15) (CT15) (Fertilin subunit beta) (PH-30) (PH30) (PH30-beta)	ADAM2 FTNB	Homo sapiens (Human)	735	IEMHVIV;	ENSG00000104755;
A0A080YUZ7	A0A080YUZ7_HUMAN	unreviewed	Lysozyme C (Sperm acrosome associated 3, isoform CRA_a)	LYZC SPACA3 hCG_28136	Homo sapiens (Human)	215	RWCPAGI;	ENSG00000141316;
B4DX00	B4DX00_HUMAN	unreviewed	cDNA FLJ61440, highly similar to Izumo sperm-egg fusion protein 1		Homo sapiens (Human)	237		
Q5D1J4	Q5D1J4_HUMAN	unreviewed	Hyaluronidase (EC 3.2.1.35)	SPAM1 HEL-S-96n hCG_32922 tcag7.49	Homo sapiens (Human)	509		ENSG00000106304;
